"dex_number","name","jp_name","en_name","form_name","height","weight","type_1","type_2","body","catch_rate","specie","ability_1","ability_2","ability_hidden","ev_hp","ev_attack","ev_defence","ev_special_attack","ev_special_defence","ev_speed","exp_yield","exp_yield_gen_5","exp_lv_100","egg_group_1","egg_group_2","egg_cycle","hp","attack","defence","special_attack","special_defence","speed"
179,"咩利羊","メリープ","Mareep","","0.6","7.8","ELECTRIC","","QUADRUPLE_FOOTS_MONSTER","235","绵毛","静电","","正电",0,0,0,1,0,0,"59","56",1059860,"MONSTER","FIELD","20",55,40,40,65,45,35,"179#咩利羊#"
180,"茸茸羊","モココ","Flaaffy","","0.8","13.3","ELECTRIC","","DUAL_FOOTS_MONSTER","120","绵毛","静电","","正电",0,0,0,2,0,0,"117","128",1059860,"MONSTER","FIELD","20",70,55,55,80,60,45,"180#茸茸羊#"
181,"电龙","デンリュウ","Ampharos","电龙","1.4","61.5","ELECTRIC","","DUAL_FOOTS_MONSTER","45","灯","静电","","正电",0,0,0,3,0,0,"194","230",1059860,"MONSTER","FIELD","20",90,75,85,115,90,55,"181#电龙#电龙#"
181,"电龙","デンリュウ","Ampharos","超级电龙","1.4","61.5","ELECTRIC","DRAGON","DUAL_FOOTS_MONSTER","45","灯","破格","","",0,0,0,3,0,0,"","275",1059860,"MONSTER","FIELD","20",90,95,105,165,110,45,"181#电龙#超级电龙#"
182,"美丽花","キレイハナ","Bellossom","","0.4","5.8","GRASS","","HUMAN","45","花","叶绿素","","治愈之心",0,0,0,0,3,0,"184","221",1059860,"GRASS","","20",75,80,95,90,100,50,"182#美丽花#"
183,"玛力露","マリル","Marill","","0.4","8.5","WATER","FAIRY","DUAL_FOOTS_MONSTER","190","水鼠","厚脂肪","大力士","食草",2,0,0,0,0,0,"58","88",800000,"WATER_1","FAIRY","10",70,20,50,20,50,40,"183#玛力露#"
184,"玛力露丽","マリルリ","Azumarill","","0.8","28.5","WATER","FAIRY","DUAL_FOOTS_MONSTER","75","水兔","厚脂肪","大力士","食草",3,0,0,0,0,0,"153","189",800000,"WATER_1","FAIRY","10",100,50,80,60,80,50,"184#玛力露丽#"
185,"树才怪","ウソッキー","Sudowoodo","","1.2","38.0","ROCK","","HUMAN","65","模仿","结实","坚硬脑袋","胆怯",0,0,2,0,0,0,"135","144",1000000,"MINERAL","","20",70,100,115,30,65,30,"185#树才怪#"
186,"蚊香蛙皇","ニョロトノ","Politoed","","1.1","33.9","WATER","","HUMAN","45","蛙","储水","湿气","降雨",0,0,0,0,3,0,"185","225",1059860,"WATER_1","","20",90,75,75,90,100,70,"186#蚊香蛙皇#"
187,"毽子草","ハネッコ","Hoppip","","0.4","0.5","GRASS","FLYING","DUAL_FOOTS_MONSTER","255","棉草","叶绿素","叶子防守","穿透",0,0,0,0,1,0,"74","50",1059860,"FAIRY","GRASS","20",35,35,40,35,55,50,"187#毽子草#"
188,"毽子花","ポポッコ","Skiploom","","0.6","1.0","GRASS","FLYING","DUAL_FOOTS_MONSTER","120","棉草","叶绿素","叶子防守","穿透",0,0,0,0,0,2,"136","119",1059860,"FAIRY","GRASS","20",55,45,50,45,65,80,"188#毽子花#"
189,"毽子棉","ワタッコ","Jumpluff","","0.8","3.0","GRASS","FLYING","DUAL_FOOTS_MONSTER","45","棉草","叶绿素","叶子防守","穿透",0,0,0,0,0,3,"176","207",1059860,"FAIRY","GRASS","20",75,55,70,55,95,110,"189#毽子棉#"
190,"长尾怪手","エイパム","Aipom","","0.8","11.5","NORMAL","","DUAL_FOOTS_MONSTER","45","长尾","逃跑","捡拾","连续攻击",0,0,0,0,0,1,"94","72",800000,"FIELD","","20",55,70,55,40,55,85,"190#长尾怪手#"
191,"向日种子","ヒマナッツ","Sunkern","","0.3","1.8","GRASS","","BALL","235","种子","叶绿素","太阳之力","早起",0,0,0,1,0,0,"52","36",1059860,"GRASS","","20",30,30,30,30,30,30,"191#向日种子#"
192,"向日花怪","キマワリ","Sunflora","","0.8","8.5","GRASS","","HUMAN","120","太阳","叶绿素","太阳之力","早起",0,0,0,2,0,0,"146","149",1059860,"GRASS","","20",75,75,55,105,85,30,"192#向日花怪#"
193,"蜻蜻蜓","ヤンヤンマ","Yanma","","1.2","38.0","BUG","FLYING","MULTI_WINGS","75","薄翼","加速","复眼","察觉",0,0,0,0,0,1,"147","78",1000000,"BUG","","20",65,65,45,75,45,95,"193#蜻蜻蜓#"
194,"乌波","ウパー","Wooper","乌波","0.4","8.5","WATER","GROUND","DUAL_LEGS","255","水鱼","湿气","储水","纯朴",1,0,0,0,0,0,"52","42",1000000,"WATER_1","FIELD","20",55,45,45,25,25,15,"194#乌波#乌波#"
194,"乌波","ウパー","Wooper","帕底亚乌波","0.4","11.0","POISON","GROUND","DUAL_LEGS","255","毒鱼","毒刺","储水","",1,0,0,0,0,0,"52","",1000000,"WATER_1","FIELD","20",55,45,45,25,25,15,"194#乌波#帕底亚乌波#"
195,"沼王","ヌオー","Quagsire","","1.4","75.0","WATER","GROUND","DUAL_FOOTS_MONSTER","90","水鱼","湿气","储水","纯朴",2,0,0,0,0,0,"137","151",1000000,"WATER_1","FIELD","20",95,85,85,65,65,35,"195#沼王#"
196,"太阳伊布","エーフィ","Espeon","","0.9","26.5","PSYCHIC","","QUADRUPLE_FOOTS_MONSTER","45","太阳","同步","","魔法镜",0,0,0,2,0,0,"197","184",1000000,"FIELD","","35",65,65,60,130,95,110,"196#太阳伊布#"
197,"月亮伊布","ブラッキー","Umbreon","","1.0","27.0","DARK","","QUADRUPLE_FOOTS_MONSTER","45","月光","同步","","精神力",0,0,0,0,2,0,"197","184",1000000,"FIELD","","35",95,65,110,60,130,65,"197#月亮伊布#"
198,"黑暗鸦","ヤミカラス","Murkrow","","0.5","2.1","DARK","FLYING","DUAL_WINGS","30","黑暗","不眠","超幸运","恶作剧之心",0,0,0,0,0,1,"107","81",1059860,"FLYING","","20",60,85,42,85,42,91,"198#黑暗鸦#"
199,"呆呆王","ヤドキング","Slowking","呆呆王","2.0","79.5","WATER","PSYCHIC","DUAL_FOOTS_MONSTER","70","王者","迟钝","我行我素","再生力",0,0,0,0,3,0,"164","172",1000000,"MONSTER","WATER_1","20",95,75,80,100,110,30,"199#呆呆王#呆呆王#"
199,"呆呆王","ヤドキング","Slowking","伽勒尔呆呆王","1.8","79.5","POISON","PSYCHIC","DUAL_FOOTS_MONSTER","70","诅咒师","怪药","我行我素","再生力",0,0,0,0,3,0,"164","",1000000,"MONSTER","WATER_1","20",95,65,80,110,110,30,"199#呆呆王#伽勒尔呆呆王#"
200,"梦妖","ムウマ","Misdreavus","","0.7","1.0","GHOST","","BALL","45","夜啼","飘浮","","",0,0,0,0,1,0,"147","87",800000,"AMORPHOUS","","25",60,60,60,85,85,85,"200#梦妖#"
201,"未知图腾","アンノーン","Unown","","0.5","5.0","PSYCHIC","","BALL","225","象征","飘浮","","",0,1,0,1,0,0,"61","118",1000000,"UNDISCOVERED","","40",48,72,48,72,48,48,"201#未知图腾#"
202,"果然翁","ソーナンス","Wobbuffet","","1.3","28.5","PSYCHIC","","PILLAR","45","忍耐","踩影","","心灵感应",2,0,0,0,0,0,"177","142",1000000,"AMORPHOUS","","20",190,33,58,33,58,33,"202#果然翁#"
203,"麒麟奇","キリンリキ","Girafarig","","1.5","41.5","NORMAL","PSYCHIC","QUADRUPLE_FOOTS_MONSTER","60","长颈","精神力","早起","食草",0,0,0,2,0,0,"149","159",1000000,"FIELD","","20",70,80,65,90,65,85,"203#麒麟奇#"
204,"榛果球","クヌギダマ","Pineco","","0.6","7.2","BUG","","BALL","190","蓑衣虫","结实","","防尘",0,0,1,0,0,0,"60","58",1000000,"BUG","","20",50,65,90,35,35,15,"204#榛果球#"
205,"佛烈托斯","フォレトス","Forretress","","1.2","125.8","BUG","STEEL","BALL","75","蓑衣虫","结实","","防尘",0,0,2,0,0,0,"118","163",1000000,"BUG","","20",75,90,140,60,60,40,"205#佛烈托斯#"
206,"土龙弟弟","ノコッチ","Dunsparce","","1.5","14.0","NORMAL","","SNAKE","190","地蛇","天恩","逃跑","胆怯",1,0,0,0,0,0,"125","145",1000000,"FIELD","","20",100,70,70,65,65,45,"206#土龙弟弟#"
207,"天蝎","グライガー","Gligar","","1.1","64.8","GROUND","FLYING","DUAL_WINGS","60","飞蝎","怪力钳","沙隐","免疫",0,0,1,0,0,0,"108","86",1059860,"BUG","","20",65,75,105,35,65,85,"207#天蝎#"
208,"大钢蛇","ハガネール","Steelix","大钢蛇","9.2","400.0","STEEL","GROUND","SNAKE","25","铁蛇","坚硬脑袋","结实","强行",0,0,2,0,0,0,"196","179",1000000,"MINERAL","","25",75,85,200,55,65,30,"208#大钢蛇#大钢蛇#"
208,"大钢蛇","ハガネール","Steelix","超级大钢蛇","10.5","740.0","STEEL","GROUND","SNAKE","25","铁蛇","沙之力","","",0,0,2,0,0,0,"","214",1000000,"MINERAL","","25",75,125,230,55,95,30,"208#大钢蛇#超级大钢蛇#"
209,"布鲁","ブルー","Snubbull","","0.6","7.8","FAIRY","","HUMAN","190","妖精","威吓","逃跑","胆怯",0,1,0,0,0,0,"63","60",800000,"FIELD","FAIRY","20",60,80,50,40,40,30,"209#布鲁#"
210,"布鲁皇","グランブル","Granbull","","1.4","48.7","FAIRY","","DUAL_FOOTS_MONSTER","75","妖精","威吓","飞毛腿","胆怯",0,2,0,0,0,0,"178","158",800000,"FIELD","FAIRY","20",90,120,75,60,60,45,"210#布鲁皇#"
211,"千针鱼","ハリーセン","Qwilfish","千针鱼","0.5","3.9","WATER","POISON","FISH","45","气球","毒刺","悠游自如","威吓",0,1,0,0,0,0,"100","88",1000000,"WATER_2","","20",65,95,85,55,55,85,"211#千针鱼#千针鱼#"
211,"千针鱼","ハリーセン","Qwilfish","洗翠千针鱼","0.5","3.9","DARK","POISON","FISH","45","气球","毒刺","悠游自如","威吓",0,1,0,0,0,0,"100","",1000000,"WATER_2","","20",65,95,85,55,55,85,"211#千针鱼#洗翠千针鱼#"
212,"巨钳螳螂","ハッサム","Scizor","巨钳螳螂","1.8","118.0","BUG","STEEL","MULTI_WINGS","25","钳子","虫之预感","技术高手","轻金属",0,2,0,0,0,0,"200","175",1000000,"BUG","","25",70,130,100,55,80,65,"212#巨钳螳螂#巨钳螳螂#"
212,"巨钳螳螂","ハッサム","Scizor","超级巨钳螳螂","2.0","125.0","BUG","STEEL","MULTI_WINGS","25","钳子","技术高手","","",0,2,0,0,0,0,"","210",1000000,"BUG","","25",70,150,140,65,100,75,"212#巨钳螳螂#超级巨钳螳螂#"
213,"壶壶","ツボツボ","Shuckle","","0.6","20.5","BUG","ROCK","BUG","190","发酵","结实","贪吃鬼","唱反调",0,0,1,0,1,0,"80","177",1059860,"BUG","","20",20,10,230,10,230,5,"213#壶壶#"
214,"赫拉克罗斯","ヘラクロス","Heracross","赫拉克罗斯","1.5","54.0","BUG","FIGHT","HUMAN","45","独角","虫之预感","毅力","自信过度",0,2,0,0,0,0,"200","175",1250000,"BUG","","25",80,125,75,40,95,85,"214#赫拉克罗斯#赫拉克罗斯#"
214,"赫拉克罗斯","ヘラクロス","Heracross","超级赫拉克罗斯","1.7","62.5","BUG","FIGHT","HUMAN","45","独角","连续攻击","","",0,2,0,0,0,0,"","210",1250000,"BUG","","25",80,185,115,40,105,75,"214#赫拉克罗斯#超级赫拉克罗斯#"
215,"狃拉","ニューラ","Sneasel","狃拉","0.9","28.0","DARK","ICE","DUAL_FOOTS_MONSTER","60","钩爪","精神力","锐利目光","顺手牵羊",0,0,0,0,0,1,"132","86",1059860,"FIELD","","20",55,95,55,35,75,115,"215#狃拉#狃拉#"
215,"狃拉","ニューラ","Sneasel","洗翠狃拉","0.9","27.0","FIGHT","POISON","DUAL_FOOTS_MONSTER","60","钩爪","精神力","锐利目光","毒手",0,0,0,0,0,1,"132","",1059860,"FIELD","","20",55,95,55,35,75,115,"215#狃拉#洗翠狃拉#"
216,"熊宝宝","ヒメグマ","Teddiursa","","0.6","8.8","NORMAL","","DUAL_FOOTS_MONSTER","120","小熊","捡拾","飞毛腿","采蜜",0,1,0,0,0,0,"124","66",1000000,"FIELD","","20",60,80,50,50,50,40,"216#熊宝宝#"
217,"圈圈熊","リングマ","Ursaring","","1.8","125.8","NORMAL","","DUAL_FOOTS_MONSTER","60","冬眠","毅力","飞毛腿","紧张感",0,2,0,0,0,0,"189","175",1000000,"FIELD","","20",90,130,75,75,75,55,"217#圈圈熊#"
218,"熔岩虫","マグマッグ","Slugma","","0.7","35.0","FIRE","","SNAKE","190","熔岩","熔岩铠甲","火焰之躯","碎裂铠甲",0,0,0,1,0,0,"78","50",1000000,"AMORPHOUS","","20",40,40,40,70,40,20,"218#熔岩虫#"
219,"熔岩蜗牛","マグカルゴ","Magcargo","","0.8","55.0","FIRE","ROCK","SNAKE","75","熔岩","熔岩铠甲","火焰之躯","碎裂铠甲",0,0,2,0,0,0,"154","151",1000000,"AMORPHOUS","","20",60,50,120,90,80,30,"219#熔岩蜗牛#"
220,"小山猪","ウリムー","Swinub","","0.4","6.5","ICE","GROUND","QUADRUPLE_FOOTS_MONSTER","225","小猪","迟钝","雪隐","厚脂肪",0,1,0,0,0,0,"78","50",1250000,"FIELD","","20",50,50,40,30,30,50,"220#小山猪#"
221,"长毛猪","イノムー","Piloswine","","1.1","55.8","ICE","GROUND","QUADRUPLE_FOOTS_MONSTER","75","野猪","迟钝","雪隐","厚脂肪",1,1,0,0,0,0,"160","158",1250000,"FIELD","","20",100,100,80,60,60,50,"221#长毛猪#"
222,"太阳珊瑚","サニーゴ","Corsola","太阳珊瑚","0.6","5.0","WATER","ROCK","BUG","60","珊瑚","活力","自然回复","再生力",0,0,1,0,1,0,"113","144",800000,"WATER_1","WATER_3","20",65,55,95,65,95,35,"222#太阳珊瑚#太阳珊瑚#"
222,"太阳珊瑚","サニーゴ","Corsola","伽勒尔太阳珊瑚","0.6","0.5","GHOST","","BUG","60","珊瑚","碎裂铠甲","","诅咒之躯",0,0,0,0,1,0,"113","",800000,"WATER_1","WATER_3","20",60,55,100,65,100,30,"222#太阳珊瑚#伽勒尔太阳珊瑚#"
223,"铁炮鱼","テッポウオ","Remoraid","","0.6","12.0","WATER","","FISH","190","喷射","活力","狙击手","心情不定",0,0,0,1,0,0,"78","60",1000000,"WATER_1","WATER_2","20",35,65,35,65,35,65,"223#铁炮鱼#"
224,"章鱼桶","オクタン","Octillery","","0.9","28.5","WATER","","TENTACLE","75","喷射","吸盘","狙击手","心情不定",0,1,0,1,0,0,"164","168",1000000,"WATER_1","WATER_2","20",75,105,75,105,75,45,"224#章鱼桶#"
225,"信使鸟","デリバード","Delibird","","0.9","16.0","ICE","FLYING","DUAL_WINGS","45","搬运","干劲","活力","不眠",0,0,0,0,0,1,"183","116",800000,"WATER_1","FIELD","20",45,55,45,65,45,75,"225#信使鸟#"
226,"巨翅飞鱼","マンタイン","Mantine","","2.1","220.0","WATER","FLYING","DUAL_WINGS","25","风筝","悠游自如","储水","水幕",0,0,0,0,2,0,"168","170",1250000,"WATER_1","","25",85,40,70,80,140,70,"226#巨翅飞鱼#"
227,"盔甲鸟","エアームド","Skarmory","","1.7","50.5","STEEL","FLYING","DUAL_WINGS","25","钢甲鸟","锐利目光","结实","碎裂铠甲",0,0,2,0,0,0,"168","163",1250000,"FLYING","","25",65,80,140,40,70,70,"227#盔甲鸟#"
228,"戴鲁比","デルビル","Houndour","","0.6","10.8","DARK","FIRE","QUADRUPLE_FOOTS_MONSTER","120","阴暗","早起","引火","紧张感",0,0,0,1,0,0,"114","66",1250000,"FIELD","","20",45,60,30,80,50,65,"228#戴鲁比#"
229,"黑鲁加","ヘルガー","Houndoom","黑鲁加","1.4","35.0","DARK","FIRE","QUADRUPLE_FOOTS_MONSTER","45","阴暗","早起","引火","紧张感",0,0,0,2,0,0,"204","175",1250000,"FIELD","","20",75,90,50,110,80,95,"229#黑鲁加#黑鲁加#"
229,"黑鲁加","ヘルガー","Houndoom","超级黑鲁加","1.9","49.5","DARK","FIRE","QUADRUPLE_FOOTS_MONSTER","45","阴暗","太阳之力","","",0,0,0,2,0,0,"","210",1250000,"FIELD","","20",75,90,90,140,90,115,"229#黑鲁加#超级黑鲁加#"
230,"刺龙王","キングドラ","Kingdra","","1.8","152.0","WATER","DRAGON","PILLAR","45","龙","悠游自如","狙击手","湿气",0,1,0,1,1,0,"207","243",1000000,"WATER_1","DRAGON","20",75,95,95,95,95,85,"230#刺龙王#"
231,"小小象","ゴマゾウ","Phanpy","","0.5","33.5","GROUND","","QUADRUPLE_FOOTS_MONSTER","120","长鼻","捡拾","","沙隐",1,0,0,0,0,0,"124","66",1000000,"FIELD","","20",90,60,60,40,40,40,"231#小小象#"
232,"顿甲","ドンファン","Donphan","","1.1","120.0","GROUND","","QUADRUPLE_FOOTS_MONSTER","60","铠甲","结实","","沙隐",0,1,1,0,0,0,"189","175",1000000,"FIELD","","20",90,120,120,60,60,50,"232#顿甲#"
233,"多边兽Ⅱ","ポリゴン２","Porygon2","","0.6","32.5","NORMAL","","DUAL_LEGS","45","虚拟","复制","下载","分析",0,0,0,2,0,0,"180","180",1000000,"MINERAL","","20",85,80,90,105,95,60,"233#多边兽Ⅱ#"
234,"惊角鹿","オドシシ","Stantler","","1.4","71.2","NORMAL","","QUADRUPLE_FOOTS_MONSTER","45","大角","威吓","察觉","食草",0,1,0,0,0,0,"165","163",1250000,"FIELD","","20",73,95,62,85,65,85,"234#惊角鹿#"
235,"图图犬","ドーブル","Smeargle","","1.2","58.0","NORMAL","","DUAL_FOOTS_MONSTER","45","画画","我行我素","技术高手","心情不定",0,0,0,0,0,1,"106","88",800000,"FIELD","","20",55,20,35,20,45,75,"235#图图犬#"
236,"无畏小子","バルキー","Tyrogue","","0.7","21.0","FIGHT","","HUMAN","75","打斗","毅力","不屈之心","干劲",0,1,0,0,0,0,"91","42",1000000,"UNDISCOVERED","","25",35,35,35,35,35,35,"236#无畏小子#"
237,"战舞郎","カポエラー","Hitmontop","","1.4","48.0","FIGHT","","DUAL_FOOTS_MONSTER","45","倒立","威吓","技术高手","不屈之心",0,0,0,0,2,0,"138","159",1000000,"HUMAN_LIKE","","25",50,95,95,35,110,70,"237#战舞郎#"
238,"迷唇娃","ムチュール","Smoochum","","0.4","6.0","ICE","PSYCHIC","HUMAN","45","亲吻","迟钝","预知梦","湿润之躯",0,0,0,1,0,0,"87","61",1000000,"UNDISCOVERED","","25",45,30,15,85,65,65,"238#迷唇娃#"
239,"电击怪","エレキッド","Elekid","","0.6","23.5","ELECTRIC","","HUMAN","45","电气","静电","","干劲",0,0,0,0,0,1,"106","72",1000000,"UNDISCOVERED","","25",45,63,37,65,55,95,"239#电击怪#"
240,"鸭嘴宝宝","ブビィ","Magby","","0.7","21.4","FIRE","","DUAL_FOOTS_MONSTER","45","火种","火焰之躯","","干劲",0,0,0,0,0,1,"117","73",1000000,"UNDISCOVERED","","25",45,75,37,70,55,83,"240#鸭嘴宝宝#"
241,"大奶罐","ミルタンク","Miltank","","1.2","75.5","NORMAL","","DUAL_FOOTS_MONSTER","45","奶牛","厚脂肪","胆量","食草",0,0,2,0,0,0,"200","172",1250000,"FIELD","","20",95,80,105,40,70,100,"241#大奶罐#"
242,"幸福蛋","ハピナス","Blissey","","1.5","46.8","NORMAL","","HUMAN","30","幸福","自然回复","天恩","治愈之心",3,0,0,0,0,0,"255","608",800000,"FAIRY","","40",255,10,10,75,135,55,"242#幸福蛋#"
243,"雷公","ライコウ","Raikou","","1.9","178.0","ELECTRIC","","QUADRUPLE_FOOTS_MONSTER","3","天雷","压迫感","","精神力",0,0,0,1,0,2,"216","261",1250000,"UNDISCOVERED","","80",90,85,75,115,100,115,"243#雷公#"
244,"炎帝","エンテイ","Entei","","2.1","198.0","FIRE","","QUADRUPLE_FOOTS_MONSTER","3","火山","压迫感","","精神力",1,2,0,0,0,0,"217","261",1250000,"UNDISCOVERED","","80",115,115,85,90,75,100,"244#炎帝#"
245,"水君","スイクン","Suicune","","2.0","187.0","WATER","","QUADRUPLE_FOOTS_MONSTER","3","极光","压迫感","","精神力",0,0,1,0,2,0,"215","261",1250000,"UNDISCOVERED","","80",100,75,115,90,115,85,"245#水君#"
246,"幼基拉斯","ヨーギラス","Larvitar","","0.6","72.0","ROCK","GROUND","DUAL_FOOTS_MONSTER","45","岩石肤","毅力","","沙隐",0,1,0,0,0,0,"67","60",1250000,"MONSTER","","40",50,64,50,45,50,41,"246#幼基拉斯#"
247,"沙基拉斯","サナギラス","Pupitar","","1.2","152.0","ROCK","GROUND","SNAKE","45","子弹","蜕皮","","",0,2,0,0,0,0,"144","144",1250000,"MONSTER","","40",70,84,70,65,70,51,"247#沙基拉斯#"
248,"班基拉斯","バンギラス","Tyranitar","班基拉斯","2.0","202.0","ROCK","DARK","DUAL_FOOTS_MONSTER","45","铠甲","扬沙","","紧张感",0,3,0,0,0,0,"218","270",1250000,"MONSTER","","40",100,134,110,95,100,61,"248#班基拉斯#班基拉斯#"
248,"班基拉斯","バンギラス","Tyranitar","超级班基拉斯","2.5","255.0","ROCK","DARK","DUAL_FOOTS_MONSTER","45","铠甲","扬沙","","",0,3,0,0,0,0,"","315",1250000,"MONSTER","","40",100,164,150,95,120,71,"248#班基拉斯#超级班基拉斯#"
249,"洛奇亚","ルギア","Lugia","","5.2","216.0","PSYCHIC","FLYING","DUAL_WINGS","3","潜水","压迫感","","多重鳞片",0,0,0,0,3,0,"220","306",1250000,"UNDISCOVERED","","120",106,90,130,90,154,110,"249#洛奇亚#"
250,"凤王","ホウオウ","Ho-Oh","","3.8","199.0","FIRE","FLYING","DUAL_WINGS","3","虹色","压迫感","","再生力",0,0,0,0,3,0,"220","306",1250000,"UNDISCOVERED","","120",106,130,90,110,154,90,"250#凤王#"
251,"时拉比","セレビィ","Celebi","","0.6","5.0","PSYCHIC","GRASS","HUMAN","45","时空穿越","自然回复","","",3,0,0,0,0,0,"64","270",1059860,"UNDISCOVERED","","120",100,100,100,100,100,100,"251#时拉比#"
252,"木守宫","キモリ","Treecko","","0.5","5.0","GRASS","","DUAL_FOOTS_MONSTER","45","林蜥","茂盛","","轻装",0,0,0,0,0,1,"65","62",1059860,"MONSTER","DRAGON","20",40,45,35,65,55,70,"252#木守宫#"
253,"森林蜥蜴","ジュプトル","Grovyle","","0.9","21.6","GRASS","","DUAL_FOOTS_MONSTER","45","林蜥","茂盛","","轻装",0,0,0,0,0,2,"141","142",1059860,"MONSTER","DRAGON","20",50,65,45,85,65,95,"253#森林蜥蜴#"
254,"蜥蜴王","ジュカイン","Sceptile","蜥蜴王","1.7","52.2","GRASS","","DUAL_FOOTS_MONSTER","45","密林","茂盛","","轻装",0,0,0,0,0,3,"208","239",1059860,"MONSTER","DRAGON","20",70,85,65,105,85,120,"254#蜥蜴王#蜥蜴王#"
254,"蜥蜴王","ジュカイン","Sceptile","超级蜥蜴王","1.9","55.2","GRASS","DRAGON","DUAL_FOOTS_MONSTER","45","密林","避雷针","","",0,0,0,0,0,3,"","284",1059860,"MONSTER","DRAGON","20",70,110,75,145,85,145,"254#蜥蜴王#超级蜥蜴王#"
255,"火稚鸡","アチャモ","Torchic","","0.4","2.5","FIRE","","DUAL_LEGS","45","雏鸡","猛火","","加速",0,0,0,1,0,0,"65","62",1059860,"FIELD","","20",45,60,40,70,50,45,"255#火稚鸡#"
256,"力壮鸡","ワカシャモ","Combusken","","0.9","19.5","FIRE","FIGHT","DUAL_FOOTS_MONSTER","45","幼鸡","猛火","","加速",0,1,0,1,0,0,"142","142",1059860,"FIELD","","20",60,85,60,85,60,55,"256#力壮鸡#"
257,"火焰鸡","バシャーモ","Blaziken","火焰鸡","1.9","52.0","FIRE","FIGHT","DUAL_FOOTS_MONSTER","45","猛火","猛火","","加速",0,3,0,0,0,0,"209","239",1059860,"FIELD","","20",80,120,70,110,70,80,"257#火焰鸡#火焰鸡#"
257,"火焰鸡","バシャーモ","Blaziken","超级火焰鸡","1.9","52.0","FIRE","FIGHT","DUAL_FOOTS_MONSTER","45","猛火","加速","","",0,3,0,0,0,0,"","284",1059860,"FIELD","","20",80,160,80,130,80,100,"257#火焰鸡#超级火焰鸡#"
258,"水跃鱼","ミズゴロウ","Mudkip","","0.4","7.6","WATER","","QUADRUPLE_FOOTS_MONSTER","45","沼鱼","激流","","湿气",0,1,0,0,0,0,"65","62",1059860,"MONSTER","WATER_1","20",50,70,50,50,50,40,"258#水跃鱼#"
259,"沼跃鱼","ヌマクロー","Marshtomp","","0.7","28.0","WATER","GROUND","DUAL_FOOTS_MONSTER","45","沼鱼","激流","","湿气",0,2,0,0,0,0,"143","142",1059860,"MONSTER","WATER_1","20",70,85,70,60,70,50,"259#沼跃鱼#"
260,"巨沼怪","ラグラージ","Swampert","巨沼怪","1.5","81.9","WATER","GROUND","DUAL_FOOTS_MONSTER","45","沼鱼","激流","","湿气",0,3,0,0,0,0,"210","241",1059860,"MONSTER","WATER_1","20",100,110,90,85,90,60,"260#巨沼怪#巨沼怪#"
260,"巨沼怪","ラグラージ","Swampert","超级巨沼怪","1.9","102.0","WATER","GROUND","DUAL_FOOTS_MONSTER","45","沼鱼","悠游自如","","",0,3,0,0,0,0,"","286",1059860,"MONSTER","WATER_1","20",100,150,110,95,110,70,"260#巨沼怪#超级巨沼怪#"
261,"土狼犬","ポチエナ","Poochyena","","0.5","13.6","DARK","","QUADRUPLE_FOOTS_MONSTER","255","紧咬","逃跑","飞毛腿","胆怯",0,1,0,0,0,0,"55","56",1000000,"FIELD","","15",35,55,35,30,30,35,"261#土狼犬#"
262,"大狼犬","グラエナ","Mightyena","","1.0","37.0","DARK","","QUADRUPLE_FOOTS_MONSTER","127","紧咬","威吓","飞毛腿","自信过度",0,2,0,0,0,0,"128","147",1000000,"FIELD","","15",70,90,70,60,60,70,"262#大狼犬#"
263,"蛇纹熊","ジグザグマ","Zigzagoon","蛇纹熊","0.4","17.5","NORMAL","","QUADRUPLE_FOOTS_MONSTER","255","豆狸","捡拾","贪吃鬼","飞毛腿",0,0,0,0,0,1,"60","56",1000000,"FIELD","","15",38,30,41,30,41,60,"263#蛇纹熊#蛇纹熊#"
263,"蛇纹熊","ジグザグマ","Zigzagoon","伽勒尔蛇纹熊","0.4","17.5","DARK","NORMAL","QUADRUPLE_FOOTS_MONSTER","255","豆狸","捡拾","贪吃鬼","飞毛腿",0,0,0,0,0,1,"60","",1000000,"FIELD","","15",38,30,41,30,41,60,"263#蛇纹熊#伽勒尔蛇纹熊#"
264,"直冲熊","マッスグマ","Linoone","直冲熊","0.5","32.5","NORMAL","","QUADRUPLE_FOOTS_MONSTER","90","猛冲","捡拾","贪吃鬼","飞毛腿",0,0,0,0,0,2,"128","147",1000000,"FIELD","","15",78,70,61,50,61,100,"264#直冲熊#直冲熊#"
264,"直冲熊","マッスグマ","Linoone","伽勒尔直冲熊","0.5","32.5","DARK","NORMAL","QUADRUPLE_FOOTS_MONSTER","90","猛冲","捡拾","贪吃鬼","飞毛腿",0,0,0,0,0,2,"128","",1000000,"FIELD","","15",78,70,61,50,61,100,"264#直冲熊#伽勒尔直冲熊#"
265,"刺尾虫","ケムッソ","Wurmple","","0.3","3.6","BUG","","BUG","255","虫宝宝","鳞粉","","逃跑",1,0,0,0,0,0,"54","56",1000000,"BUG","","15",45,45,35,20,30,20,"265#刺尾虫#"
266,"甲壳茧","カラサリス","Silcoon","","0.6","10.0","BUG","","BALL","120","蛹","蜕皮","","",0,0,2,0,0,0,"72","72",1000000,"BUG","","15",50,35,55,25,25,15,"266#甲壳茧#"
